dataset,r,D,D_std,D_sem
analytics,1.18196995,0.4866894383,,
analytics,1.191986644,0.4832614499,,
analytics,1.202003339,0.4798760672,,
analytics,1.212020033,0.4765326413,,
analytics,1.222036728,0.4732305307,,
analytics,1.232053422,0.4699691022,,
analytics,1.242070117,0.4667477302,,
analytics,1.252086811,0.4635657978,,
analytics,1.262103506,0.460422696,,
analytics,1.2721202,0.4573178243,,
analytics,1.282136895,0.4542505908,,
analytics,1.292153589,0.4512204121,,
analytics,1.302170284,0.4482267133,,
analytics,1.312186978,0.4452689281,,
analytics,1.322203673,0.4423464987,,
analytics,1.332220367,0.4394588761,,
analytics,1.342237062,0.4366055197,,
analytics,1.352253756,0.4337858973,,
analytics,1.362270451,0.4309994855,,
analytics,1.372287145,0.428245769,,
analytics,1.38230384,0.425524241,,
analytics,1.392320534,0.4228344032,,
analytics,1.402337229,0.420175765,,
analytics,1.412353923,0.4175478446,,
analytics,1.422370618,0.4149501677,,
analytics,1.432387312,0.4123822683,,
analytics,1.442404007,0.4098436882,,
analytics,1.452420701,0.4073339769,,
analytics,1.462437396,0.4048526918,,
analytics,1.47245409,0.4023993976,,
analytics,1.482470785,0.3999736667,,
analytics,1.492487479,0.3975750788,,
analytics,1.502504174,0.3952032208,,
analytics,1.512520868,0.392857687,,
analytics,1.522537563,0.3905380785,,
analytics,1.532554257,0.3882440035,,
analytics,1.542570952,0.3859750769,,
analytics,1.552587646,0.3837309205,,
analytics,1.562604341,0.3815111627,,
analytics,1.572621035,0.3793154381,,
analytics,1.58263773,0.3771433882,,
analytics,1.592654424,0.3749946605,,
analytics,1.602671119,0.3728689086,,
analytics,1.612687813,0.3707657924,,
analytics,1.622704508,0.3686849777,,
analytics,1.632721202,0.3666261362,,
analytics,1.642737896,0.3645889451,,
analytics,1.652754591,0.3625730877,,
analytics,1.662771285,0.3605782526,,
analytics,1.67278798,0.3586041338,,
analytics,1.682804674,0.3566504308,,
analytics,1.692821369,0.3547168484,,
analytics,1.702838063,0.3528030963,,
analytics,1.712854758,0.3509088896,,
analytics,1.722871452,0.3490339482,,
analytics,1.732888147,0.3471779969,,
analytics,1.742904841,0.3453407652,,
analytics,1.752921536,0.3435219875,,
analytics,1.76293823,0.3417214027,,
analytics,1.772954925,0.3399387541,,
analytics,1.782971619,0.3381737898,,
analytics,1.792988314,0.3364262619,,
analytics,1.803005008,0.3346959268,,
analytics,1.813021703,0.3329825454,,
analytics,1.823038397,0.3312858824,,
analytics,1.833055092,0.3296057066,,
analytics,1.843071786,0.3279417908,,
analytics,1.853088481,0.3262939117,,
analytics,1.863105175,0.3246618498,,
analytics,1.87312187,0.3230453892,,
analytics,1.883138564,0.3214443179,,
analytics,1.893155259,0.3198584274,,
analytics,1.903171953,0.3182875125,,
analytics,1.913188648,0.3167313718,,
analytics,1.923205342,0.315189807,,
analytics,1.933222037,0.3136626234,,
analytics,1.943238731,0.3121496293,,
analytics,1.953255426,0.3106506364,,
analytics,1.96327212,0.3091654595,,
analytics,1.973288815,0.3076939162,,
analytics,1.983305509,0.3062358276,,
analytics,1.993322204,0.3047910174,,
analytics,2.003338898,0.3033593123,,
analytics,2.013355593,0.3019405419,,
analytics,2.023372287,0.3005345385,,
analytics,2.033388982,0.2991411373,,
analytics,2.043405676,0.297760176,,
analytics,2.053422371,0.2963914951,,
analytics,2.063439065,0.2950349375,,
analytics,2.07345576,0.293690349,,
analytics,2.083472454,0.2923575774,,
analytics,2.093489149,0.2910364733,,
analytics,2.103505843,0.2897268897,,
analytics,2.113522538,0.2884286817,,
analytics,2.123539232,0.2871417069,,
analytics,2.133555927,0.2858658251,,
analytics,2.143572621,0.2846008984,,
analytics,2.153589316,0.2833467911,,
analytics,2.16360601,0.2821033695,,
analytics,2.173622705,0.280870502,,
analytics,2.183639399,0.2796480594,,
analytics,2.193656093,0.278435914,,
analytics,2.203672788,0.2772339404,,
analytics,2.213689482,0.2760420153,,
analytics,2.223706177,0.274860017,,
analytics,2.233722871,0.2736878257,,
analytics,2.243739566,0.2725253238,,
analytics,2.25375626,0.271372395,,
analytics,2.263772955,0.2702289252,,
analytics,2.273789649,0.2690948019,,
analytics,2.283806344,0.2679699142,,
analytics,2.293823038,0.2668541531,,
analytics,2.303839733,0.2657474111,,
analytics,2.313856427,0.2646495823,,
analytics,2.323873122,0.2635605625,,
analytics,2.333889816,0.262480249,,
analytics,2.343906511,0.2614085408,,
analytics,2.353923205,0.2603453381,,
analytics,2.3639399,0.2592905429,,
analytics,2.373956594,0.2582440584,,
analytics,2.383973289,0.2572057893,,
analytics,2.393989983,0.2561756419,,
analytics,2.404006678,0.2551535237,,
analytics,2.414023372,0.2541393435,,
analytics,2.424040067,0.2531330115,,
analytics,2.434056761,0.2521344394,,
analytics,2.444073456,0.2511435398,,
analytics,2.45409015,0.2501602269,,
analytics,2.464106845,0.249184416,,
analytics,2.474123539,0.2482160237,,
analytics,2.484140234,0.2472549676,,
analytics,2.494156928,0.2463011667,,
analytics,2.504173623,0.245354541,,
analytics,2.514190317,0.2444150119,,
analytics,2.524207012,0.2434825015,,
analytics,2.534223706,0.2425569334,,
analytics,2.544240401,0.241638232,,
analytics,2.554257095,0.2407263229,,
analytics,2.56427379,0.2398211328,,
analytics,2.574290484,0.2389225892,,
analytics,2.584307179,0.2380306209,,
analytics,2.594323873,0.2371451574,,
analytics,2.604340568,0.2362661295,,
analytics,2.614357262,0.2353934686,,
analytics,2.624373957,0.2345271073,,
analytics,2.634390651,0.2336669791,,
analytics,2.644407346,0.2328130183,,
analytics,2.65442404,0.2319651602,,
analytics,2.664440735,0.2311233408,,
analytics,2.674457429,0.2302874973,,
analytics,2.684474124,0.2294575675,,
analytics,2.694490818,0.2286334901,,
analytics,2.704507513,0.2278152045,,
analytics,2.714524207,0.2270026512,,
analytics,2.724540902,0.2261957713,,
analytics,2.734557596,0.2253945068,,
analytics,2.74457429,0.2245988002,,
analytics,2.754590985,0.223808595,,
analytics,2.764607679,0.2230238356,,
analytics,2.774624374,0.2222444667,,
analytics,2.784641068,0.2214704341,,
analytics,2.794657763,0.2207016842,,
analytics,2.804674457,0.219938164,,
analytics,2.814691152,0.2191798213,,
analytics,2.824707846,0.2184266045,,
analytics,2.834724541,0.2176784628,,
analytics,2.844741235,0.2169353459,,
analytics,2.85475793,0.2161972043,,
analytics,2.864774624,0.215463989,,
analytics,2.874791319,0.2147356517,,
analytics,2.884808013,0.2140121448,,
analytics,2.894824708,0.213293421,,
analytics,2.904841402,0.212579434,,
analytics,2.914858097,0.2118701379,,
analytics,2.924874791,0.2111654873,,
analytics,2.934891486,0.2104654374,,
analytics,2.94490818,0.2097699442,,
analytics,2.954924875,0.2090789639,,
analytics,2.964941569,0.2083924535,,
analytics,2.974958264,0.2077103704,,
analytics,2.984974958,0.2070326727,,
analytics,2.994991653,0.2063593188,,
analytics,3.005008347,0.2056902676,,
analytics,3.015025042,0.2050254789,,
analytics,3.025041736,0.2043649125,,
analytics,3.035058431,0.203708529,,
analytics,3.045075125,0.2030562894,,
analytics,3.05509182,0.2024081551,,
analytics,3.065108514,0.201764088,,
analytics,3.075125209,0.2011240506,,
analytics,3.085141903,0.2004880058,,
analytics,3.095158598,0.1998559167,,
analytics,3.105175292,0.1992277473,,
analytics,3.115191987,0.1986034615,,
analytics,3.125208681,0.1979830241,,
analytics,3.135225376,0.1973664,,
analytics,3.14524207,0.1967535548,,
analytics,3.155258765,0.1961444541,,
analytics,3.165275459,0.1955390645,,
analytics,3.175292154,0.1949373523,,
analytics,3.185308848,0.1943392848,,
analytics,3.195325543,0.1937448293,,
analytics,3.205342237,0.1931539537,,
analytics,3.215358932,0.1925666261,,
analytics,3.225375626,0.1919828151,,
analytics,3.235392321,0.1914024897,,
analytics,3.245409015,0.1908256191,,
analytics,3.25542571,0.1902521729,,
analytics,3.265442404,0.1896821212,,
analytics,3.275459098,0.1891154343,,
analytics,3.285475793,0.1885520828,,
analytics,3.295492487,0.1879920378,,
analytics,3.305509182,0.1874352706,,
analytics,3.315525876,0.1868817528,,
analytics,3.325542571,0.1863314566,,
analytics,3.335559265,0.185784354,,
analytics,3.34557596,0.1852404179,,
analytics,3.355592654,0.1846996211,,
analytics,3.365609349,0.1841619367,,
analytics,3.375626043,0.1836273385,,
analytics,3.385642738,0.1830958001,,
analytics,3.395659432,0.1825672957,,
analytics,3.405676127,0.1820417997,,
analytics,3.415692821,0.1815192868,,
analytics,3.425709516,0.180999732,,
analytics,3.43572621,0.1804831104,,
analytics,3.445742905,0.1799693976,,
analytics,3.455759599,0.1794585694,,
analytics,3.465776294,0.1789506019,,
analytics,3.475792988,0.1784454713,,
analytics,3.485809683,0.1779431541,,
analytics,3.495826377,0.1774436273,,
analytics,3.505843072,0.1769468679,,
analytics,3.515859766,0.1764528532,,
analytics,3.525876461,0.1759615608,,
analytics,3.535893155,0.1754729684,,
analytics,3.54590985,0.1749870542,,
analytics,3.555926544,0.1745037963,,
analytics,3.565943239,0.1740231733,,
analytics,3.575959933,0.173545164,,
analytics,3.585976628,0.1730697473,,
analytics,3.595993322,0.1725969024,,
analytics,3.606010017,0.1721266086,,
analytics,3.616026711,0.1716588457,,
analytics,3.626043406,0.1711935934,,
analytics,3.6360601,0.1707308318,,
analytics,3.646076795,0.1702705412,,
analytics,3.656093489,0.1698127019,,
analytics,3.666110184,0.1693572947,,
analytics,3.676126878,0.1689043005,,
analytics,3.686143573,0.1684537003,,
analytics,3.696160267,0.1680054753,,
analytics,3.706176962,0.167559607,,
analytics,3.716193656,0.1671160771,,
analytics,3.726210351,0.1666748674,,
analytics,3.736227045,0.1662359598,,
analytics,3.74624374,0.1657993367,,
analytics,3.756260434,0.1653649803,,
analytics,3.766277129,0.1649328733,,
analytics,3.776293823,0.1645029984,,
analytics,3.786310518,0.1640753385,,
analytics,3.796327212,0.1636498766,,
analytics,3.806343907,0.163226596,,
analytics,3.816360601,0.1628054802,,
analytics,3.826377295,0.1623865128,,
analytics,3.83639399,0.1619696774,,
analytics,3.846410684,0.161554958,,
analytics,3.856427379,0.1611423387,,
analytics,3.866444073,0.1607318037,,
analytics,3.876460768,0.1603233374,,
analytics,3.886477462,0.1599169243,,
analytics,3.896494157,0.1595125491,,
analytics,3.906510851,0.1591101967,,
analytics,3.916527546,0.1587098521,,
analytics,3.92654424,0.1583115004,,
analytics,3.936560935,0.1579151268,,
analytics,3.946577629,0.1575207169,,
analytics,3.956594324,0.1571282561,,
analytics,3.966611018,0.1567377303,,
analytics,3.976627713,0.1563491251,,
analytics,3.986644407,0.1559624267,,
analytics,3.996661102,0.1555776211,,
analytics,4.006677796,0.1551946946,,
analytics,4.016694491,0.1548136336,,
analytics,4.026711185,0.1544344246,,
analytics,4.03672788,0.1540570541,,
analytics,4.046744574,0.1536815091,,
analytics,4.056761269,0.1533077764,,
analytics,4.066777963,0.1529358429,,
analytics,4.076794658,0.1525656959,,
analytics,4.086811352,0.1521973226,,
analytics,4.096828047,0.1518307104,,
analytics,4.106844741,0.1514658468,,
analytics,4.116861436,0.1511027194,,
analytics,4.12687813,0.150741316,,
analytics,4.136894825,0.1503816243,,
analytics,4.146911519,0.1500236324,,
analytics,4.156928214,0.1496673283,,
analytics,4.166944908,0.1493127002,,
analytics,4.176961603,0.1489597364,,
analytics,4.186978297,0.1486084253,,
analytics,4.196994992,0.1482587554,,
analytics,4.207011686,0.1479107153,,
analytics,4.217028381,0.1475642937,,
analytics,4.227045075,0.1472194795,,
analytics,4.23706177,0.1468762615,,
analytics,4.247078464,0.1465346289,,
analytics,4.257095159,0.1461945706,,
analytics,4.267111853,0.145856076,,
analytics,4.277128548,0.1455191344,,
analytics,4.287145242,0.1451837351,,
analytics,4.297161937,0.1448498677,,
analytics,4.307178631,0.1445175217,,
analytics,4.317195326,0.144186687,,
analytics,4.32721202,0.1438573532,,
analytics,4.337228715,0.1435295102,,
analytics,4.347245409,0.1432031481,,
analytics,4.357262104,0.1428782568,,
analytics,4.367278798,0.1425548266,,
analytics,4.377295492,0.1422328476,,
analytics,4.387312187,0.1419123102,,
analytics,4.397328881,0.1415932048,,
analytics,4.407345576,0.1412755218,,
analytics,4.41736227,0.1409592519,,
analytics,4.427378965,0.1406443857,,
analytics,4.437395659,0.140330914,,
analytics,4.447412354,0.1400188275,,
analytics,4.457429048,0.1397081171,,
analytics,4.467445743,0.1393987739,,
analytics,4.477462437,0.1390907889,,
analytics,4.487479132,0.1387841532,,
analytics,4.497495826,0.138478858,,
analytics,4.507512521,0.1381748947,,
analytics,4.517529215,0.1378722545,,
analytics,4.52754591,0.137570929,,
analytics,4.537562604,0.1372709096,,
analytics,4.547579299,0.1369721878,,
analytics,4.557595993,0.1366747555,,
analytics,4.567612688,0.1363786042,,
analytics,4.577629382,0.1360837257,,
analytics,4.587646077,0.135790112,,
analytics,4.597662771,0.135497755,,
analytics,4.607679466,0.1352066466,,
analytics,4.61769616,0.1349167789,,
analytics,4.627712855,0.1346281441,,
analytics,4.637729549,0.1343407344,,
analytics,4.647746244,0.134054542,,
analytics,4.657762938,0.1337695592,,
analytics,4.667779633,0.1334857785,,
analytics,4.677796327,0.1332031923,,
analytics,4.687813022,0.1329217931,,
analytics,4.697829716,0.1326415735,,
analytics,4.707846411,0.1323625262,,
analytics,4.717863105,0.1320846438,,
analytics,4.7278798,0.1318079191,,
analytics,4.737896494,0.1315323449,,
analytics,4.747913189,0.1312579142,,
analytics,4.757929883,0.1309846198,,
analytics,4.767946578,0.1307124547,,
analytics,4.777963272,0.1304414121,,
analytics,4.787979967,0.1301714849,,
analytics,4.797996661,0.1299026665,,
analytics,4.808013356,0.1296349499,,
analytics,4.81803005,0.1293683286,,
analytics,4.828046745,0.1291027957,,
analytics,4.838063439,0.1288383447,,
analytics,4.848080134,0.1285749691,,
analytics,4.858096828,0.1283126623,,
analytics,4.868113523,0.1280514178,,
analytics,4.878130217,0.1277912293,,
analytics,4.888146912,0.1275320904,,
analytics,4.898163606,0.1272739948,,
analytics,4.908180301,0.1270169363,,
analytics,4.918196995,0.1267609086,,
analytics,4.928213689,0.1265059056,,
analytics,4.938230384,0.1262519212,,
analytics,4.948247078,0.1259989493,,
analytics,4.958263773,0.1257469839,,
analytics,4.968280467,0.125496019,,
analytics,4.978297162,0.1252460488,,
analytics,4.988313856,0.1249970674,,
analytics,4.998330551,0.1247490689,,
analytics,5.008347245,0.1245020475,,
analytics,5.01836394,0.1242559976,,
analytics,5.028380634,0.1240109134,,
analytics,5.038397329,0.1237667893,,
analytics,5.048414023,0.1235236197,,
analytics,5.058430718,0.123281399,,
analytics,5.068447412,0.1230401217,,
analytics,5.078464107,0.1227997824,,
analytics,5.088480801,0.1225603756,,
analytics,5.098497496,0.1223218959,,
analytics,5.10851419,0.1220843379,,
analytics,5.118530885,0.1218476965,,
analytics,5.128547579,0.1216119662,,
analytics,5.138564274,0.1213771419,,
analytics,5.148580968,0.1211432184,,
analytics,5.158597663,0.1209101905,,
analytics,5.168614357,0.1206780531,,
analytics,5.178631052,0.1204468012,,
analytics,5.188647746,0.1202164297,,
analytics,5.198664441,0.1199869336,,
analytics,5.208681135,0.1197583081,,
analytics,5.21869783,0.119530548,,
analytics,5.228714524,0.1193036487,,
analytics,5.238731219,0.1190776051,,
analytics,5.248747913,0.1188524126,,
analytics,5.258764608,0.1186280663,,
analytics,5.268781302,0.1184045615,,
analytics,5.278797997,0.1181818935,,
analytics,5.288814691,0.1179600576,,
analytics,5.298831386,0.1177390493,,
analytics,5.30884808,0.1175188638,,
analytics,5.318864775,0.1172994966,,
analytics,5.328881469,0.1170809433,,
analytics,5.338898164,0.1168631992,,
analytics,5.348914858,0.1166462599,,
analytics,5.358931553,0.1164301211,,
analytics,5.368948247,0.1162147782,,
analytics,5.378964942,0.116000227,,
analytics,5.388981636,0.1157864631,,
analytics,5.398998331,0.1155734821,,
analytics,5.409015025,0.1153612798,,
analytics,5.41903172,0.115149852,,
analytics,5.429048414,0.1149391944,,
analytics,5.439065109,0.1147293029,,
analytics,5.449081803,0.1145201734,,
analytics,5.459098497,0.1143118015,,
analytics,5.469115192,0.1141041834,,
analytics,5.479131886,0.113897315,,
analytics,5.489148581,0.1136911921,,
analytics,5.499165275,0.1134858108,,
analytics,5.50918197,0.1132811671,,
analytics,5.519198664,0.113077257,,
analytics,5.529215359,0.1128740768,,
analytics,5.539232053,0.1126716223,,
analytics,5.549248748,0.1124698898,,
analytics,5.559265442,0.1122688755,,
analytics,5.569282137,0.1120685755,,
analytics,5.579298831,0.111868986,,
analytics,5.589315526,0.1116701033,,
analytics,5.59933222,0.1114719237,,
analytics,5.609348915,0.1112744434,,
analytics,5.619365609,0.1110776588,,
analytics,5.629382304,0.1108815662,,
analytics,5.639398998,0.110686162,,
analytics,5.649415693,0.1104914425,,
analytics,5.659432387,0.1102974043,,
analytics,5.669449082,0.1101040437,,
analytics,5.679465776,0.1099113572,,
analytics,5.689482471,0.1097193413,,
analytics,5.699499165,0.1095279925,,
analytics,5.70951586,0.1093373074,,
analytics,5.719532554,0.1091472826,,
analytics,5.729549249,0.1089579146,,
analytics,5.739565943,0.1087692,,
analytics,5.749582638,0.1085811355,,
analytics,5.759599332,0.1083937178,,
analytics,5.769616027,0.1082069434,,
analytics,5.779632721,0.1080208092,,
analytics,5.789649416,0.1078353119,,
analytics,5.79966611,0.1076504481,,
analytics,5.809682805,0.1074662147,,
analytics,5.819699499,0.1072826085,,
analytics,5.829716194,0.1070996263,,
analytics,5.839732888,0.1069172649,,
analytics,5.849749583,0.1067355212,,
analytics,5.859766277,0.106554392,,
analytics,5.869782972,0.1063738743,,
analytics,5.879799666,0.106193965,,
analytics,5.889816361,0.106014661,,
analytics,5.899833055,0.1058359592,,
analytics,5.90984975,0.1056578568,,
analytics,5.919866444,0.1054803505,,
analytics,5.929883139,0.1053034376,,
analytics,5.939899833,0.105127115,,
analytics,5.949916528,0.1049513798,,
analytics,5.959933222,0.1047762291,,
analytics,5.969949917,0.1046016599,,
analytics,5.979966611,0.1044276694,,
analytics,5.989983306,0.1042542547,,
analytics,6,0.104081413,,
numerics,0,1,0,0
numerics,1,0.5556327826,0.03894217087,0.005507254619
numerics,2,0.2972386082,0.04477421644,0.006332030414
numerics,3,0.2012846094,0.04269111982,0.006037436064
numerics,4,0.1533377828,0.03626311121,0.005128378368
numerics,5,0.1255829341,0.03548175284,0.005017877608
numerics,6,0.1057362334,0.03282519816,0.004642184043
